"City","State","Locations","Packages","Internets","TVs"
"Crescent City","California","[5825982]","[15906115]","[12702844]","[13994345]"
"Lee's Summit","Missouri","[1747605]","[15900784]","[12703532]","[13990979]"
"Beavercreek","Ohio","[16048951]","[15902460]","[13141567]","[13998770]"
"Helena","Montana","[5826213]","[15901560]","[12699795]","[13992438]"
"Cary","North Carolina","[8558196,11754088]","[15897658]","[12702920]","[13997520]"
"Cleburne","Texas","[5826202]","[15902589]","[12700098]","[13993699]"
"Monterey Park","California","[13790719]","[15903614]","[12700551]","[13993994]"
"Ludlow","Massachusetts","[5826126]","[15902414]","[12704775]","[13996096]"
"Brooksville","Florida","[14357249]","[15898198]","[12702005]","[13998781]"
"Palisades Park","New Jersey","[1747617]","[15898514]","[12702305]","[13990591]"
"Murray","Kentucky","[1747758]","[15897920]","[12702960]","[13997173]"
"Lebanon","Tennessee","[5825929]","[15904840]","[12701044]","[13992889]"
"Edgewood","Kentucky","[1747522]","[15900392]","[13139242]","[13996263]"
"Wichita Falls","Texas","[12669909]","[15897491]","[12701744]","[14000024]"
"Farragut","Tennessee","[5825967]","[15903353]","[13141448]","[13994367]"
"Norwich","New York","[1457242]","[15902519]","[12701053]","[14001012]"
"Savannah","Tennessee","[5826205]","[15903298]","[12703307]","[13991672]"
"West Bend","Wisconsin","[5826008]","[15903866]","[12700416]","[13994489]"
"Overland Park","Kansas","[14971009]","[15899135]","[12703130]","[13995068]"
"Lakeland","Florida","[5825993,11398442]","[15906731]","[12703862]","[13999486]"
"Daytona Beach","Florida","[5826004]","[15902150]","[12704672]","[13995621]"
"Jasper","Alabama","[5825926]","[15902035]","[12702367]","[13990754]"
"Maryville","Tennessee","[5825934]","[15901029]","[12702708]","[13990781]"
"Kearney","Nebraska","[5826190]","[15902836]","[12700623]","[13993294]"
"Kissimmee","Florida","[11610797,13323496]","[15898470]","[12700458]","[13999915]"
"Ashland","Kentucky","[1747632]","[15901050]","[12701087]","[13991722]"
"West Melbourne","Florida","[12268664]","[15901359]","[13140364]","[13994283]"
"Mayfield Heights","Ohio","[13191822]","[15906811]","[13138879]","[13992894]"
"Malone","New York","[1747681]","[15902042]","[12702533]","[13990987]"
"Orange","Massachusetts","[1747532]","[15905229]","[12701975]","[13999106]"
"San Luis Obispo","California","[5826070]","[15899038]","[12700738]","[13991246]"
"Bangor","Maine","[1457125]","[15904043]","[12704741]","[13991730]"
"Negaunee","Michigan","[5826101]","[15901452]","[12702214]","[13998462]"
"Whiteville","North Carolina","[14848452]","[15901131]","[12699915]","[13995558]"
"Osage Beach","Missouri","[5826139]","[15900001]","[12702461]","[14000175]"
"Athens","Alabama","[5825912]","[15901099]","[12702578]","[13994304]"
"Wisconsin Rapids","Wisconsin","[5826089]","[15897292]","[12698508]","[13991502]"
"Marshfield","Wisconsin","[5826136]","[15906617]","[12702628]","[13994404]"
